9/29/2021 22:40,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 4 Retro Shimmer (W),,
9/29/2021 23:15,9.62209E+33,pznus,5/19 Mt Run,,,,,
9/29/2021 23:16,9.63208E+33,miki,5/19 Mt Run,,,,,
9/29/2021 23:16,9.62209E+33,pznus,5/19 Mt Run,,,,,
9/29/2021 23:22,9.62209E+33,PZNUS,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Foam RNNR Ochre,,
9/30/2021 0:29,9.62209E+33,Unfollow,5/19 Mt Run,,,adidas Yeezy Knit RNR Sulfur,,
9/30/2021 0:29,9.62209E+33,Kris,5/19 Mt Run,,domestic or StockX,,,
9/30/2021 0:29,9.63208E+33,Kris,5/19 Mt Run,,,damaged,,
9/30/2021 0:29,9.62209E+33,Liang,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,Miki,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,Miki,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,Miki,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,PZNUS,5/19 Mt Run,,,,,
9/30/2021 0:29,9.62209E+33,PZNUS,5/19 Mt Run,,,,,
9/30/2021 19:15,9.62209E+33,LIANG,2/2 Windsor,,,,,
9/30/2021 19:15,9.62209E+33,LIANG,2/2 Windsor,,,,,
9/30/2021 19:21,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/30/2021 19:22,9.62209E+33,MIKI,5/19 Mt Run,,,,,
9/30/2021 19:28,9.6128E+21,UNfollow,8/23 Spring,,,Jordan 4 Retro Lightning (2021) (GS),,
10/4/2021 20:20,1Z577140YW08067189,BOBO,8/23 Spring,,,C7294600 9,,
10/5/2021 19:40,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Knit RNR Sulfur,,
10/5/2021 19:40,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Knit RNR Sulfur,,
10/5/2021 19:41,9.62209E+33,HQCH,9/2101 Mindy,,,,,
10/5/2021 19:42,1Z577140YW08065921,BOBO,9/2101 Mindy,,,C7294600 9.5,,
10/5/2021 19:43,1Z577140YW08123519,BOBO,6/1802 Yosko,,,C7294600 9,,
10/5/2021 19:43,1Z577140YW08065369,BOBO,6/1802 Yosko,,,C7294600 9,,
10/6/2021 19:18,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
10/6/2021 19:18,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
10/6/2021 19:18,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
10/6/2021 19:19,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
10/7/2021 18:37,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021) (GS),,
10/8/2021 21:12,1Z577140YW08123546,BOBO,8/23 Spring,,,C7294600 9,,
10/11/2021 19:08,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
